,date_open,date_close,diff
227,2022-05-02 21:40:00,2022-05-04 22:50:00,1
228,2022-05-04 22:50:00,2022-05-12 21:40:00,0
229,2022-05-12 21:40:00,2022-05-18 01:10:00,1
230,2022-05-18 01:10:00,2022-05-20 20:30:00,0
231,2022-05-20 20:30:00,2022-05-30 12:30:00,1
232,2022-05-30 12:30:00,2022-06-02 16:30:00,0
233,2022-06-02 16:30:00,2022-06-03 01:10:00,1
234,2022-06-03 01:10:00,2022-06-16 21:50:00,0
235,2022-06-16 21:50:00,2022-06-27 11:00:00,1
236,2022-06-27 11:00:00,2022-06-30 17:00:00,0
237,2022-06-30 17:00:00,2022-07-08 18:20:00,1
238,2022-07-08 18:20:00,2022-07-13 15:40:00,0
239,2022-07-13 15:40:00,2022-07-22 16:50:00,1
240,2022-07-22 16:50:00,2022-07-26 23:00:00,0
241,2022-07-26 23:00:00,2022-08-08 17:00:00,1
242,2022-08-08 17:00:00,2022-08-09 19:20:00,0
243,2022-08-09 19:20:00,2022-08-16 21:10:00,1
244,2022-08-16 21:10:00,2022-08-23 09:30:00,0
245,2022-08-23 09:30:00,2022-08-26 16:00:00,1
246,2022-08-26 16:00:00,2022-09-07 03:20:00,0
247,2022-09-07 03:20:00,2022-09-13 15:30:00,1
248,2022-09-13 15:30:00,2022-09-21 21:00:00,0
249,2022-09-21 21:00:00,2022-09-21 21:40:00,1
250,2022-09-21 21:40:00,2022-09-28 13:00:00,0
251,2022-09-28 13:00:00,2022-09-28 22:40:00,1
252,2022-09-28 22:40:00,2022-10-03 03:50:00,0
253,2022-10-03 03:50:00,2022-10-06 03:20:00,1
254,2022-10-06 03:20:00,2022-10-13 16:30:00,0
255,2022-10-13 16:30:00,2022-10-18 16:30:00,1
256,2022-10-18 16:30:00,2022-10-21 15:50:00,0
257,2022-10-21 15:50:00,2022-10-25 23:00:00,1
258,2022-10-25 23:00:00,2022-11-04 15:30:00,0
259,2022-11-04 15:30:00,2022-11-15 15:30:00,1
260,2022-11-15 15:30:00,2022-11-17 16:20:00,0
261,2022-11-17 16:20:00,2022-11-24 14:00:00,1
262,2022-11-24 14:00:00,2022-11-29 18:20:00,0
263,2022-11-29 18:20:00,2022-12-01 17:00:00,1
264,2022-12-01 17:00:00,2022-12-07 14:30:00,0
265,2022-12-07 14:30:00,2022-12-13 15:30:00,1
